Vegetables,Summer,Silt,Barishal,March-April,4.12
Vegetables,Autumn,Loamy,Sylhet,August-September,4.12
Rice,Winter,Loamy,Barishal,November-December,0.86
Tea,Summer,Clay,Barishal,March-April,0.71
Wheat,Winter,Loamy,Sylhet,November-December,1.2
Vegetables,Monsoon,Sandy,Sylhet,May-June,4.12
Spices,Summer,Silt,Barishal,March–April,1.2
Jute,Winter,Peaty,Sylhet,October–November,2.1
Vegetables,Autumn,Loamy,Chattogram,September–October,6.5
Wheat,Autumn,Peaty,Dhaka,November–December,1.6
Wheat,Winter,Clay,Sylhet,November–December,1.5
Rice,Monsoon,Silt,Mymensingh,June–July,4.2
Vegetables,Monsoon,Clay,Rangpur,July–August,7.0
Maize,Winter,Peaty,Sylhet,November–December,3.2
Tea,Summer,Sandy,Rangpur,April–May,0.9
Spices,Summer,Sandy,Dhaka,March–April,1.3
Tea,Autumn,Clay,Chattogram,September–October,0.8
Rice,Autumn,Sandy,Rangpur,October–November,3.8
Vegetables,Summer,Sandy,Sylhet,March–April,6.8
Maize,Autumn,Loamy,Rajshahi,September–October,3.5
Wheat,Autumn,Peaty,Rajshahi,November–December,1.7
Rice,Summer,Peaty,Dhaka,April–May,3.9
Jute,Summer,Peaty,Rajshahi,March–April,2.3
Rice,Autumn,Loamy,Khulna,October–November,4.0
Tea,Monsoon,Peaty,Sylhet,June–July,1.0
Vegetables,Monsoon,Sandy,Dhaka,July–August,7.2
Wheat,Winter,Sandy,Dhaka,November–December,1.5
Rice,Winter,Peaty,Sylhet,November–December,3.6
Spices,Summer,Peaty,Rangpur,March–April,1.1
Spices,Winter,Peaty,Khulna,November–December,1.0
Jute,Winter,Sandy,Rangpur,October–November,2.0
Vegetables,Monsoon,Loamy,Dhaka,July–August,7.5
Jute,Autumn,Clay,Chattogram,September–October,2.2
Jute,Summer,Silt,Dhaka,March–April,2.4
Wheat,Winter,Silt,Barishal,November–December,1.4
Wheat,Summer,Loamy,Mymensingh,February–March,1.3
Rice,Monsoon,Sandy,Sylhet,June–July,4.1
Tea,Winter,Sandy,Barishal,November–December,0.7
Wheat,Monsoon,Peaty,Mymensingh,June–July,1.2
Tea,Summer,Clay,Barishal,April–May,0.9
Maize,Autumn,Clay,Chattogram,September–October,3.4
Wheat,Autumn,Loamy,Rangpur,November–December,1.8
Jute,Summer,Sandy,Mymensingh,March–April,2.3
Maize,Winter,Peaty,Khulna,November–December,3.0
Wheat,Winter,Peaty,Rajshahi,November–December,1.7
Tea,Autumn,Loamy,Rajshahi,September–October,0.9
Wheat,Monsoon,Silt,Mymensingh,June–July,1.1
Spices,Winter,Sandy,Rangpur,November–December,1.1
Tea,Monsoon,Loamy,Dhaka,June–July,0.8
Vegetables,Winter,Sandy,Chattogram,November–December,6.0
Maize,Summer,Clay,Rangpur,February–March,3.3
Maize,Winter,Silt,Sylhet,November–December,3.1
Wheat,Winter,Silt,Mymensingh,November–December,1.5
Rice,Autumn,Loamy,Rangpur,October–November,4.0
Wheat,Winter,Clay,Rangpur,November–December,1.6
Wheat,Monsoon,Clay,Sylhet,June–July,1.2
Wheat,Summer,Loamy,Rajshahi,February–March,1.4
Vegetables,Monsoon,Sandy,Sylhet,July–August,6.7
Spices,Summer,Peaty,Rajshahi,March–April,1.2
Rice,Winter,Clay,Mymensingh,November–December,3.7
Spices,Winter,Peaty,Rangpur,November–December,1.0
Rice,Summer,Sandy,Khulna,April–May,3.8
Tea,Winter,Peaty,Sylhet,November–December,0.9
Jute,Winter,Sandy,Khulna,October–November,2.0
Rice,Winter,Sandy,Rangpur,November–December,3.9
Vegetables,Monsoon,Silt,Rangpur,July–August,7.1
Maize,Monsoon,Peaty,Chattogram,June–July,3.0
Rice,Autumn,Loamy,Sylhet,October–November,3.9
Tea,Winter,Sandy,Dhaka,November–December,0.8
Jute,Winter,Clay,Chattogram,October–November,2.1
Wheat,Autumn,Clay,Rangpur,November–December,1.7
Wheat,Autumn,Loamy,Mymensingh,November–December,1.6
Tea,Summer,Clay,Dhaka,April–May,0.9
Tea,Winter,Silt,Barishal,November–December,0.7
Vegetables,Autumn,Sandy,Dhaka,September–October,6.4
Tea,Summer,Clay,Dhaka,April–May,0.9
Tea,Autumn,Loamy,Dhaka,September–October,0.8
Jute,Autumn,Sandy,Rangpur,September–October,2.2
Jute,Winter,Silt,Mymensingh,October–November,2.1
Rice,Winter,Loamy,Rangpur,November–December,4.1
Wheat,Autumn,Peaty,Sylhet,November–December,1.5
Maize,Summer,Peaty,Mymensingh,February–March,3.4
Jute,Summer,Clay,Mymensingh,March–April,2.3
Spices,Winter,Clay,Mymensingh,November–December,1.1
Rice,Summer,Clay,Barishal,April–May,4.0
Jute,Winter,Silt,Sylhet,October–November,2.2
Jute,Monsoon,Loamy,Rajshahi,June–July,2.4
Spices,Summer,Silt,Barishal,March–April,1.3
Spices,Summer,Clay,Rangpur,March–April,1.1
Jute,Winter,Sandy,Mymensingh,October–November,2.0
Tea,Autumn,Silt,Mymensingh,September–October,0.8
Rice,Winter,Silt,Barishal,November–December,3.9
Rice,Winter,Loamy,Mymensingh,November–December,4.2
Spices,Monsoon,Clay,Dhaka,July–August,1.2
Wheat,Winter,Peaty,Khulna,November–December,1.4
Maize,Autumn,Sandy,Barishal,September–October,3.3
Rice,Monsoon,Silt,Sylhet,June–July,4.0
Tea,Winter,Peaty,Rajshahi,November–December,0.9
Rice,Summer,Loamy,Rajshahi,April–May,4.1
Vegetables,Summer,Clay,Khulna,February–March,6.2
Wheat,Summer,Loamy,Chattogram,February–March,1.3
Tea,Autumn,Peaty,Mymensingh,September–October,0.8
Jute,Autumn,Clay,Dhaka,September–October,2.3
Jute,Autumn,Silt,Rangpur,September–October,2.2
Tea,Summer,Clay,Sylhet,April–May,0.9
Vegetables,Winter,Peaty,Rajshahi,November–December,5.8
Tea,Summer,Peaty,Mymensingh,April–May,0.9
Tea,Monsoon,Sandy,Mymensingh,June–July,0.8
Wheat,Summer,Clay,Rajshahi,February–March,1.5
Wheat,Autumn,Sandy,Sylhet,November–December,1.4
Spices,Winter,Sandy,Chattogram,November–December,1.2
Vegetables,Summer,Loamy,Rajshahi,March–April,6.6
Spices,Winter,Peaty,Dhaka,November–December,1.0
Rice,Winter,Loamy,Sylhet,November–December,3.7
Tea,Autumn,Loamy,Dhaka,September–October,0.8
Maize,Winter,Silt,Dhaka,November–December,3.1
Wheat,Autumn,Silt,Khulna,November–December,1.5
Maize,Autumn,Sandy,Barishal,September–October,3.2
Vegetables,Summer,Peaty,Mymensingh,March–April,6.3
Jute,Winter,Sandy,Dhaka,October–November,2.1
Spices,Winter,Sandy,Dhaka,November–December,1.1
Wheat,Autumn,Silt,Dhaka,November–December,1.6
Tea,Summer,Clay,Rajshahi,April–May,0.9
Vegetables,Winter,Clay,Khulna,November–December,5.9
Jute,Winter,Sandy,Sylhet,October–November,2.0
Spices,Autumn,Clay,Mymensingh,September–October,1.2
Tea,Summer,Peaty,Rangpur,April–May,0.9
Maize,Monsoon,Silt,Rangpur,June–July,3.3
Vegetables,Winter,Sandy,Khulna,November–December,6.1
Vegetables,Summer,Sandy,Sylhet,March–April,6.7
Jute,Autumn,Silt,Barishal,September–October,2.3
Rice,Winter,Silt,Rangpur,November–December,4.0
Maize,Summer,Loamy,Sylhet,February–March,3.4
Wheat,Autumn,Loamy,Dhaka,November–December,1.7
Maize,Monsoon,Sandy,Rajshahi,June–July,3.5
Tea,Summer,Sandy,Sylhet,April–May,0.9
Vegetables,Monsoon,Silt,Barishal,July–August,7.0
Spices,Monsoon,Silt,Rajshahi,July–August,1.3
Spices,Winter,Clay,Sylhet,November–December,1.1
Jute,Autumn,Peaty,Barishal,September–October,2.1
Vegetables,Monsoon,Peaty,Mymensingh,July–August,6.8
Vegetables,Monsoon,Clay,Chattogram,July–August,7.2
Rice,Summer,Sandy,Rangpur,April–May,3.7
Maize,Monsoon,Loamy,Rajshahi,June–July,3.6
Tea,Summer,Silt,Chattogram,April–May,0.8
Vegetables,Summer,Peaty,Mymensingh,March–April,6.4
Spices,Monsoon,Loamy,Chattogram,July–August,1.4
Tea,Winter,Loamy,Barishal,November–December,0.7
Spices,Monsoon,Loamy,Mymensingh,July–August,1.3
Vegetables,Monsoon,Sandy,Rajshahi,July–August,7.1
Wheat,Winter,Sandy,Rangpur,November–December,1.6
Spices,Summer,Silt,Rangpur,March–April,1.2
Jute,Autumn,Clay,Dhaka,September–October,2.3
Vegetables,Winter,Loamy,Khulna,November–December,6.0
Maize,Monsoon,Peaty,Dhaka,June–July,3.2
Jute,Winter,Peaty,Chattogram,October–November,2.0
Jute,Summer,Clay,Dhaka,March–April,2.4
Maize,Monsoon,Peaty,Sylhet,June–July,3.1
Vegetables,Monsoon,Loamy,Rajshahi,July–August,7.3
Maize,Winter,Loamy,Sylhet,November–December,3.2
Vegetables,Autumn,Peaty,Khulna,September–October,6.2
Rice,Summer,Peaty,Sylhet,April–May,3.8
Jute,Monsoon,Loamy,Chattogram,June–July,2.5
Maize,Summer,Loamy,Mymensingh,February–March,3.5
Wheat,Autumn,Loamy,Rangpur,November–December,1.8
Maize,Autumn,Peaty,Rajshahi,September–October,3.4
Wheat,Summer,Clay,Chattogram,February–March,1.4
Vegetables,Summer,Sandy,Chattogram,March–April,6.9
Jute,Summer,Peaty,Dhaka,March–April,2.2
Jute,Monsoon,Sandy,Rangpur,June–July,2.4
Vegetables,Winter,Loamy,Rangpur,November–December,6.3
Maize,Monsoon,Sandy,Khulna,June–July,3.3
Rice,Winter,Loamy,Rajshahi,November–December,4.0
Jute,Summer,Silt,Rajshahi,March–April,2.4
Maize,Winter,Loamy,Dhaka,November–December,3.3
Rice,Winter,Sandy,Khulna,November–December,3.8
Jute,Summer,Loamy,Mymensingh,March–April,2.3
Maize,Summer,Silt,Sylhet,February–March,3.4
Vegetables,Winter,Clay,Rangpur,November–December,6.1
Maize,Monsoon,Sandy,Rangpur,June–July,3.5
Rice,Monsoon,Silt,Rajshahi,June–July,4.3
Maize,Monsoon,Peaty,Khulna,June–July,3.1
Maize,Autumn,Loamy,Barishal,September–October,3.3
Wheat,Winter,Loamy,Rajshahi,November–December,1.7
Tea,Summer,Clay,Sylhet,April–May,0.9
Tea,Autumn,Silt,Rangpur,September–October,0.8
Maize,Summer,Clay,Sylhet,February–March,3.3
Jute,Summer,Loamy,Dhaka,March–April,2.4
Tea,Winter,Peaty,Rajshahi,November–December,0.9
Jute,Monsoon,Sandy,Barishal,June–July,2.3
Maize,Winter,Loamy,Mymensingh,November–December,3.4
Jute,Summer,Clay,Rangpur,March–April,2.2
Rice,Summer,Sandy,Rangpur,April–May,3.7
Rice,Monsoon,Loamy,Khulna,June–July,4.4
Vegetables,Monsoon,Loamy,Mymensingh,July–August,7.4
Jute,Autumn,Loamy,Chattogram,September–October,2.4
Rice,Winter,Clay,Sylhet,November–December,3.6
Wheat,Monsoon,Clay,Chattogram,June–July,1.3
Jute,Monsoon,Clay,Sylhet,June–July,2.3
Spices,Monsoon,Sandy,Chattogram,July–August,1.4
Spices,Summer,Loamy,Barishal,March–April,1.3
Rice,Monsoon,Peaty,Rangpur,June–July,4.0
Maize,Summer,Sandy,Sylhet,February–March,3.5
Maize,Monsoon,Sandy,Mymensingh,June–July,3.6
Maize,Summer,Sandy,Khulna,February–March,3.4
Spices,Monsoon,Silt,Chattogram,July–August,1.3
Wheat,Winter,Clay,Sylhet,November–December,1.5
Spices,Autumn,Silt,Rajshahi,September–October,1.2
Maize,Autumn,Sandy,Dhaka,September–October,3.4
Rice,Autumn,Sandy,Barishal,October–November,3.9
Vegetables,Summer,Clay,Mymensingh,March–April,6.8
Vegetables,Monsoon,Loamy,Rangpur,July–August,7.2
Maize,Winter,Sandy,Chattogram,November–December,3.1
Maize,Autumn,Silt,Sylhet,September–October,3.2
Jute,Summer,Loamy,Rajshahi,March–April,2.4
Tea,Summer,Peaty,Chattogram,April–May,0.8
Vegetables,Summer,Clay,Barishal,March–April,6.5
Maize,Summer,Loamy,Khulna,February–March,3.3
Maize,Monsoon,Loamy,Sylhet,June–July,3.4
Maize,Autumn,Sandy,Mymensingh,September–October,3.5
Tea,Winter,Clay,Mymensingh,November–December,0.7
Tea,Winter,Silt,Rajshahi,November–December,0.8
Wheat,Monsoon,Peaty,Rangpur,June–July,1.2
Spices,Monsoon,Loamy,Rangpur,July–August,1.3
Jute,Autumn,Silt,Dhaka,September–October,2.3
Vegetables,Autumn,Loamy,Rangpur,September–October,6.6
Wheat,Summer,Loamy,Mymensingh,February–March,1.4
Rice,Monsoon,Clay,Rangpur,June–July,4.1
Wheat,Monsoon,Silt,Mymensingh,June–July,1.1
Spices,Monsoon,Peaty,Dhaka,July–August,1.1
Maize,Summer,Sandy,Barishal,February–March,3.4
Maize,Monsoon,Silt,Barishal,June–July,3.3
Jute,Summer,Loamy,Mymensingh,March–April,2.4
Maize,Summer,Peaty,Barishal,February–March,3.3
Rice,Monsoon,Sandy,Dhaka,June–July,4.2
Wheat,Winter,Loamy,Dhaka,November–December,1.7
Vegetables,Autumn,Sandy,Barishal,September–October,6.3
Rice,Summer,Peaty,Mymensingh,April–May,4.0
Jute,Monsoon,Loamy,Sylhet,June–July,2.4
Rice,Autumn,Sandy,Rajshahi,October–November,4.0
Maize,Autumn,Silt,Rajshahi,September–October,3.5
Rice,Monsoon,Sandy,Sylhet,June–July,3.9
Spices,Winter,Peaty,Rangpur,November–December,1.0
Jute,Summer,Clay,Barishal,March–April,2.2
Maize,Summer,Clay,Khulna,February–March,3.2
Jute,Monsoon,Silt,Rangpur,June–July,2.4
Vegetables,Autumn,Clay,Rajshahi,September–October,6.4
Maize,Monsoon,Loamy,Barishal,June–July,3.5
Vegetables,Monsoon,Peaty,Rajshahi,July–August,6.9
Rice,Autumn,Silt,Rajshahi,October–November,4.2
Vegetables,Autumn,Peaty,Chattogram,September–October,6.1
Spices,Monsoon,Peaty,Khulna,July–August,1.1
Jute,Monsoon,Silt,Rangpur,June–July,2.3
Wheat,Autumn,Silt,Mymensingh,November–December,1.5
Rice,Summer,Peaty,Mymensingh,April–May,4.1
Rice,Summer,Silt,Khulna,April–May,3.9
Spices,Monsoon,Silt,Dhaka,July–August,1.3
Jute,Winter,Silt,Rajshahi,October–November,2.1
Maize,Summer,Loamy,Dhaka,February–March,3.5
Tea,Summer,Loamy,Rangpur,April–May,0.9
Wheat,Autumn,Silt,Sylhet,November–December,1.4
Tea,Summer,Loamy,Khulna,April–May,0.8
Maize,Monsoon,Sandy,Khulna,June–July,3.4
Vegetables,Monsoon,Clay,Khulna,July–August,7.0
Wheat,Monsoon,Sandy,Mymensingh,June–July,1.2
Tea,Summer,Sandy,Dhaka,April–May,0.9
Tea,Summer,Peaty,Rangpur,April–May,0.9
Rice,Monsoon,Silt,Mymensingh,June–July,4.3
Maize,Autumn,Loamy,Rajshahi,September–October,3.6
Rice,Winter,Peaty,Rangpur,November–December,3.7
Wheat,Monsoon,Loamy,Barishal,June–July,1.1
Wheat,Winter,Peaty,Mymensingh,November–December,1.5
Maize,Summer,Loamy,Barishal,February–March,3.4
Wheat,Winter,Clay,Rangpur,November–December,1.6
Jute,Winter,Peaty,Chattogram,October–November,2.0
Vegetables,Winter,Clay,Rangpur,November–December,6.0
Wheat,Monsoon,Loamy,Sylhet,June–July,1.2
Rice,Winter,Loamy,Chattogram,November–December,3.8
Tea,Summer,Silt,Sylhet,April–May,0.8
Vegetables,Autumn,Silt,Mymensingh,September–October,6.5
Tea,Summer,Clay,Mymensingh,April–May,0.9
Rice,Winter,Sandy,Rangpur,November–December,3.9
Tea,Monsoon,Clay,Barishal,June–July,0.7
Rice,Summer,Silt,Sylhet,April–May,3.8
Vegetables,Autumn,Loamy,Khulna,September–October,6.3
Maize,Winter,Sandy,Mymensingh,November–December,3.2
Tea,Monsoon,Loamy,Rajshahi,June–July,0.8
Vegetables,Summer,Peaty,Sylhet,March–April,6.2
Rice,Winter,Clay,Barishal,November–December,4.0
Maize,Summer,Clay,Sylhet,February–March,3.3
Tea,Monsoon,Sandy,Chattogram,June–July,0.7
Wheat,Summer,Clay,Khulna,February–March,1.4
Rice,Winter,Sandy,Chattogram,November–December,3.7
Maize,Winter,Clay,Rangpur,November–December,3.1
Tea,Winter,Loamy,Sylhet,November–December,0.8
Jute,Winter,Silt,Chattogram,October–November,2.1
Vegetables,Summer,Sandy,Mymensingh,March–April,6.8
Spices,Summer,Silt,Chattogram,March–April,1.3
Wheat,Monsoon,Clay,Rajshahi,June–July,1.3
Spices,Monsoon,Loamy,Rangpur,July–August,1.3
Wheat,Monsoon,Clay,Dhaka,June–July,1.2
Vegetables,Summer,Peaty,Mymensingh,March–April,6.3
Tea,Summer,Sandy,Barishal,April–May,0.8
Jute,Winter,Sandy,Sylhet,October–November,2.0
Maize,Summer,Loamy,Chattogram,February–March,3.5
Maize,Autumn,Sandy,Barishal,September–October,3.3
Vegetables,Monsoon,Sandy,Khulna,July–August,7.1
Vegetables,Winter,Loamy,Rajshahi,November–December,6.2
Maize,Winter,Sandy,Rajshahi,November–December,3.3
Vegetables,Summer,Loamy,Rangpur,March–April,6.9
Vegetables,Winter,Clay,Mymensingh,November–December,6.0
Wheat,Monsoon,Silt,Mymensingh,June–July,1.1
Jute,Winter,Peaty,Khulna,October–November,2.0
Jute,Autumn,Loamy,Sylhet,September–October,2.2
Rice,Autumn,Peaty,Khulna,October–November,3.8
Maize,Summer,Peaty,Chattogram,February–March,3.2
Maize,Monsoon,Peaty,Khulna,June–July,3.0
Jute,Monsoon,Loamy,Sylhet,June–July,2.4
Maize,Summer,Loamy,Chattogram,February–March,3.5
Maize,Autumn,Peaty,Rangpur,September–October,3.3
Jute,Summer,Silt,Barishal,March–April,2.4
Spices,Summer,Peaty,Khulna,March–April,1.1
Rice,Autumn,Peaty,Chattogram,October–November,3.7
Maize,Summer,Peaty,Rajshahi,February–March,3.4
Maize,Summer,Silt,Khulna,February–March,3.3
Rice,Summer,Peaty,Rangpur,April–May,3.7
Vegetables,Summer,Sandy,Chattogram,March–April,6.9
Rice,Autumn,Peaty,Sylhet,October–November,3.6
Spices,Autumn,Loamy,Sylhet,September–October,1.2
Tea,Monsoon,Sandy,Dhaka,June–July,0.8
Maize,Summer,Silt,Sylhet,February–March,3.4
Maize,Autumn,Loamy,Dhaka,September–October,3.5
Tea,Autumn,Sandy,Khulna,September–October,0.7
Wheat,Summer,Loamy,Dhaka,February–March,1.5
Tea,Summer,Sandy,Rangpur,April–May,0.9
Maize,Autumn,Peaty,Mymensingh,September–October,3.3
Tea,Summer,Silt,Chattogram,April–May,0.8
Vegetables,Autumn,Clay,Rajshahi,September–October,6.4
Vegetables,Autumn,Peaty,Dhaka,September–October,6.1
Rice,Monsoon,Silt,Rangpur,June–July,4.2
Tea,Winter,Silt,Barishal,November–December,0.7
Jute,Summer,Clay,Chattogram,March–April,2.3
Spices,Monsoon,Loamy,Barishal,July–August,1.4
Jute,Monsoon,Sandy,Rangpur,June–July,2.4
Jute,Winter,Silt,Sylhet,October–November,2.2
Tea,Winter,Silt,Sylhet,November–December,0.8
Jute,Winter,Silt,Barishal,October–November,2.1
Maize,Monsoon,Clay,Chattogram,June–July,3.4
Vegetables,Summer,Clay,Rajshahi,March–April,6.7
Rice,Monsoon,Clay,Barishal,June–July,4.1
Maize,Autumn,Loamy,Barishal,September–October,3.4
Tea,Monsoon,Loamy,Dhaka,June–July,0.8
Rice,Winter,Clay,Barishal,November–December,4.0
Spices,Winter,Peaty,Chattogram,November–December,1.1
Rice,Monsoon,Clay,Mymensingh,June–July,4.3
Rice,Winter,Clay,Rajshahi,November–December,4.1
Jute,Summer,Sandy,Dhaka,March–April,2.3
Vegetables,Summer,Sandy,Mymensingh,March–April,6.8
Spices,Winter,Loamy,Dhaka,November–December,1.2
Maize,Winter,Sandy,Rangpur,November–December,3.2
Spices,Winter,Loamy,Rajshahi,November–December,1.2
Rice,Winter,Peaty,Rajshahi,November–December,3.8
Spices,Monsoon,Silt,Khulna,July–August,1.2
Spices,Monsoon,Peaty,Dhaka,July–August,1.1
Vegetables,Monsoon,Silt,Rajshahi,July–August,7.0
Spices,Summer,Peaty,Rajshahi,March–April,1.2
Tea,Winter,Clay,Mymensingh,November–December,0.7
Maize,Monsoon,Clay,Rajshahi,June–July,3.5
Vegetables,Autumn,Sandy,Sylhet,September–October,6.5
Tea,Monsoon,Silt,Chattogram,June–July,0.7
Tea,Summer,Silt,Barishal,April–May,0.8
Tea,Autumn,Sandy,Rajshahi,September–October,0.8
Wheat,Monsoon,Clay,Barishal,June–July,1.1
Tea,Autumn,Loamy,Rangpur,September–October,0.9
Maize,Monsoon,Sandy,Chattogram,June–July,3.5
Spices,Autumn,Sandy,Sylhet,September–October,1.2
Spices,Summer,Silt,Rangpur,March–April,1.2
Tea,Autumn,Peaty,Rangpur,September–October,0.8
Wheat,Summer,Clay,Chattogram,February–March,1.4
Tea,Autumn,Silt,Sylhet,September–October,0.8
Vegetables,Monsoon,Silt,Chattogram,July–August,7.2
Vegetables,Winter,Peaty,Mymensingh,November–December,5.9
Vegetables,Autumn,Loamy,Mymensingh,September–October,6.6
Maize,Monsoon,Loamy,Rangpur,June–July,3.6
Tea,Summer,Peaty,Rajshahi,April–May,0.9
Rice,Summer,Clay,Barishal,April–May,4.0
Maize,Winter,Sandy,Barishal,November–December,3.1
Vegetables,Autumn,Silt,Rangpur,September–October,6.7
Vegetables,Autumn,Loamy,Sylhet,September–October,6.8
Vegetables,Autumn,Loamy,Sylhet,September–October,6.8
Maize,Autumn,Loamy,Dhaka,September–October,3.5
Rice,Autumn,Silt,Rangpur,October–November,4.1
Vegetables,Winter,Peaty,Mymensingh,November–December,5.9
Maize,Winter,Peaty,Barishal,November–December,3.0
Rice,Monsoon,Loamy,Rajshahi,June–July,4.4
Spices,Monsoon,Clay,Chattogram,July–August,1.4
Spices,Summer,Silt,Sylhet,March–April,1.3
Jute,Monsoon,Peaty,Khulna,June–July,2.3
Vegetables,Winter,Clay,Mymensingh,November–December,6.0
Jute,Monsoon,Clay,Mymensingh,June–July,2.4
Wheat,Summer,Clay,Sylhet,February–March,1.4
Wheat,Autumn,Sandy,Dhaka,November–December,1.5
Spices,Winter,Loamy,Chattogram,November–December,1.3
Tea,Winter,Sandy,Rangpur,November–December,0.7
Wheat,Summer,Clay,Rajshahi,February–March,1.5
Rice,Winter,Loamy,Dhaka,November–December,4.1
Wheat,Summer,Sandy,Dhaka,February–March,1.4
Jute,Monsoon,Peaty,Dhaka,June–July,2.2
Tea,Summer,Sandy,Rangpur,April–May,0.9
Vegetables,Monsoon,Sandy,Dhaka,July–August,7.3
Spices,Autumn,Loamy,Barishal,September–October,1.3
Wheat,Summer,Peaty,Rajshahi,February–March,1.4
Spices,Winter,Loamy,Rajshahi,November–December,1.2
Rice,Summer,Loamy,Chattogram,April–May,3.9
Tea,Summer,Loamy,Rajshahi,April–May,0.9
Spices,Autumn,Clay,Rajshahi,September–October,1.3
Rice,Winter,Loamy,Dhaka,November–December,4.2
Tea,Autumn,Loamy,Khulna,September–October,0.8
Rice,Winter,Sandy,Barishal,November–December,3.8
Jute,Winter,Clay,Sylhet,October–November,2.1
Vegetables,Winter,Clay,Sylhet,November–December,5.9
Maize,Autumn,Clay,Sylhet,September–October,3.3
Vegetables,Winter,Sandy,Chattogram,November–December,6.2
Tea,Summer,Peaty,Dhaka,April–May,0.9
Rice,Monsoon,Clay,Mymensingh,June–July,4.3
Vegetables,Autumn,Clay,Barishal,September–October,6.4
Wheat,Monsoon,Silt,Barishal,June–July,1.1
Spices,Winter,Peaty,Chattogram,November–December,1.1
Tea,Summer,Clay,Rajshahi,April–May,0.9
Tea,Winter,Peaty,Rangpur,November–December,0.8
Spices,Monsoon,Peaty,Khulna,July–August,1.1
Jute,Monsoon,Clay,Khulna,June–July,2.3
Spices,Winter,Clay,Sylhet,November–December,1.1
Vegetables,Monsoon,Loamy,Khulna,July–August,7.1
Tea,Summer,Sandy,Rangpur,April–May,0.9
Rice,Summer,Clay,Rangpur,April–May,3.8
Tea,Summer,Silt,Sylhet,April–May,0.8
Rice,Winter,Silt,Khulna,November–December,3.9
Spices,Autumn,Sandy,Sylhet,September–October,1.2
Rice,Autumn,Loamy,Sylhet,October–November,4.0
Spices,Winter,Sandy,Chattogram,November–December,1.2
Maize,Summer,Loamy,Barishal,February–March,3.4
Wheat,Winter,Loamy,Khulna,November–December,1.5
Vegetables,Summer,Silt,Rangpur,March–April,6.9
Wheat,Summer,Loamy,Dhaka,February–March,1.5
Wheat,Autumn,Loamy,Sylhet,November–December,1.6
Rice,Winter,Loamy,Dhaka,November–December,4.2
Jute,Summer,Clay,Sylhet,March–April,2.3
Spices,Monsoon,Loamy,Dhaka,July–August,1.4
Jute,Winter,Loamy,Mymensingh,October–November,2.2
Maize,Monsoon,Clay,Barishal,June–July,3.5
Spices,Winter,Silt,Chattogram,November–December,1.2
Maize,Monsoon,Loamy,Dhaka,June–July,3.6
Vegetables,Autumn,Clay,Mymensingh,September–October,6.5
Jute,Autumn,Sandy,Rajshahi,September–October,2.3
Rice,Winter,Peaty,Mymensingh,November–December,3.8
Tea,Summer,Peaty,Sylhet,April–May,0.9
Vegetables,Summer,Loamy,Mymensingh,March–April,6.7
Wheat,Winter,Clay,Rajshahi,November–December,1.6
Jute,Winter,Clay,Chattogram,October–November,2.1
Vegetables,Winter,Sandy,Khulna,November–December,6.1
Tea,Winter,Clay,Rajshahi,November–December,0.8
Spices,Summer,Sandy,Sylhet,March–April,1.3
Maize,Summer,Loamy,Rajshahi,February–March,3.6
Maize,Winter,Silt,Barishal,November–December,3.1
Rice,Autumn,Silt,Rajshahi,October–November,4.2
Jute,Monsoon,Loamy,Rangpur,June–July,2.5
Jute,Summer,Peaty,Sylhet,March–April,2.2
Vegetables,Monsoon,Sandy,Barishal,July–August,7.0
Spices,Winter,Peaty,Dhaka,November–December,1.0
Maize,Monsoon,Silt,Khulna,June–July,3.4
Rice,Summer,Clay,Rajshahi,April–May,4.1
Tea,Winter,Silt,Barishal,November–December,0.7
Tea,Monsoon,Silt,Dhaka,June–July,0.8
Tea,Summer,Loamy,Sylhet,April–May,0.9
Rice,Monsoon,Clay,Chattogram,June–July,4.2
Wheat,Monsoon,Peaty,Rajshahi,June–July,1.2
Wheat,Summer,Silt,Rangpur,February–March,1.5
Vegetables,Monsoon,Silt,Barishal,July–August,7.1
Spices,Summer,Silt,Dhaka,March–April,1.3
Wheat,Summer,Clay,Barishal,February–March,1.4
Tea,Winter,Sandy,Barishal,November–December,0.7
Vegetables,Monsoon,Sandy,Barishal,July–August,7.0
Rice,Monsoon,Loamy,Rajshahi,June–July,4.4
Rice,Monsoon,Sandy,Khulna,June–July,4.1
Maize,Winter,Peaty,Mymensingh,November–December,3.0
Wheat,Summer,Loamy,Barishal,February–March,1.4
Tea,Autumn,Clay,Mymensingh,September–October,0.8
Jute,Summer,Silt,Barishal,March–April,2.4
Spices,Summer,Peaty,Mymensingh,March–April,1.1
Rice,Monsoon,Sandy,Rajshahi,June–July,4.0
Maize,Autumn,Sandy,Chattogram,September–October,3.4
Vegetables,Autumn,Sandy,Mymensingh,September–October,6.6
Spices,Summer,Loamy,Rangpur,March–April,1.3
Maize,Winter,Peaty,Khulna,November–December,3.0
Maize,Autumn,Loamy,Rangpur,September–October,3.5
Jute,Autumn,Sandy,Chattogram,September–October,2.3
Wheat,Winter,Silt,Rangpur,November–December,1.6
Tea,Summer,Clay,Rajshahi,April–May,0.9
Spices,Winter,Loamy,Rajshahi,November–December,1.2
Rice,Winter,Silt,Barishal,November–December,3.9
Maize,Summer,Clay,Khulna,February–March,3.3
Maize,Monsoon,Clay,Rangpur,June–July,3.4
